Date,From Currency,To Currency,Rate
2020-06-05,USD,INR,75.5781112092
2020-06-05,USD,GBP,0.7894792586
2020-06-05,USD,EUR,0.8826125331
2020-06-04,USD,GBP,0.7972
2020-06-04,USD,EUR,0.8888888889
2020-06-04,USD,INR,75.4951111111
2020-06-03,USD,GBP,0.7956494551
2020-06-03,USD,EUR,0.8933357156
2020-06-03,USD,INR,75.4917813114
2020-06-02,USD,INR,75.2094147127
2020-06-02,USD,EUR,0.8949346698
2020-06-02,USD,GBP,0.7972346519
2020-06-01,USD,EUR,0.8996041742
2020-06-01,USD,INR,75.5109751709
2020-06-01,USD,GBP,0.8067020511
2020-05-29,USD,INR,75.5230783046
2020-05-29,USD,EUR,0.8979885057
2020-05-29,USD,GBP,0.8089798851
2020-05-28,USD,INR,75.7657044299
2020-05-28,USD,EUR,0.9077705156
2020-05-28,USD,GBP,0.8145243282
2020-05-27,USD,GBP,0.8151669548
2020-05-27,USD,EUR,0.9098353198
2020-05-27,USD,INR,75.7392411973
2020-05-26,USD,GBP,0.8098223235
2020-05-26,USD,EUR,0.9111617312
2020-05-26,USD,INR,75.5599088838
2020-05-25,USD,GBP,0.8204857929
2020-05-25,USD,EUR,0.9165902841
2020-05-25,USD,INR,75.8868010999
